[ 2026-07-01 03:23:50,618 ] 17 root - INFO - Initiate the data ingestion
[ 2026-07-01 03:23:53,112 ] 56 root - INFO - Performed trained test split on the dataframe
[ 2026-07-01 03:23:53,112 ] 58 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-07-01 03:23:53,113 ] 63 root - INFO - Exporting train and test file path.
[ 2026-07-01 03:23:53,146 ] 68 root - INFO - Exported train and test file path.
[ 2026-07-01 03:23:53,146 ] 19 root - INFO - Data Initiation Completed
[ 2026-07-01 03:23:53,151 ] 24 root - INFO - Initiate the data validation
[ 2026-07-01 03:23:53,210 ] 31 root - INFO - Required number of columns: 2
[ 2026-07-01 03:23:53,210 ] 32 root - INFO - Data frame has columns: 31
[ 2026-07-01 03:23:53,210 ] 31 root - INFO - Required number of columns: 2
[ 2026-07-01 03:23:53,210 ] 32 root - INFO - Data frame has columns: 31
[ 2026-07-01 03:23:53,308 ] 26 root - INFO - Data Validation Completed
[ 2026-07-01 03:23:53,308 ] 30 root - INFO - Initiate the data transformation
[ 2026-07-01 03:23:53,308 ] 48 root - INFO - Entered initiate_data_transformation method of DataTransformation Class
[ 2026-07-01 03:23:53,308 ] 50 root - INFO - Starting Data Transformation
[ 2026-07-01 03:23:53,323 ] 37 root - INFO - Entered get_data_transformer_object method of transformation class
[ 2026-07-01 03:23:53,323 ] 41 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-07-01 03:23:53,330 ] 40 root - INFO - Entered the save_object method of MainUtils class
[ 2026-07-01 03:23:53,332 ] 44 root - INFO - Exited the save_object method of MainUtils class
[ 2026-07-01 03:23:53,332 ] 33 root - INFO - Data Transformation Completed
[ 2026-07-01 03:23:53,332 ] 36 root - INFO - Model Training Started
[ 2026-07-01 03:31:33,813 ] 37 alembic.runtime.plugins - INFO - setup plugin alembic.autogenerate.schemas
[ 2026-07-01 03:31:33,813 ] 37 alembic.runtime.plugins - INFO - setup plugin alembic.autogenerate.tables
[ 2026-07-01 03:31:33,813 ] 37 alembic.runtime.plugins - INFO - setup plugin alembic.autogenerate.types
[ 2026-07-01 03:31:33,813 ] 37 alembic.runtime.plugins - INFO - setup plugin alembic.autogenerate.constraints
[ 2026-07-01 03:31:33,813 ] 37 alembic.runtime.plugins - INFO - setup plugin alembic.autogenerate.defaults
[ 2026-07-01 03:31:33,813 ] 37 alembic.runtime.plugins - INFO - setup plugin alembic.autogenerate.comments
[ 2026-07-01 03:31:33,984 ] 210 alembic.runtime.migration - INFO - Context impl SQLiteImpl.
[ 2026-07-01 03:31:33,984 ] 213 alembic.runtime.migration - INFO - Will assume non-transactional DDL.
[ 2026-07-01 03:31:38,683 ] 40 root - INFO - Entered the save_object method of MainUtils class
[ 2026-07-01 03:31:38,708 ] 44 root - INFO - Exited the save_object method of MainUtils class
[ 2026-07-01 03:31:38,708 ] 112 root - INFO - Model Trainer Artifact: ModelTrainerArtifact(trained_model_file_path='Artifacts\\07_01_2026_03_23_49\\model_trainer\\trained_model\\model.pkl', train_metric_artifact=ClassificationMetricArtifact(f1_score=0.9911575562700965, precision_score=0.9889713254461601, recall_score=0.9933534743202417), test_metric_artifact=ClassificationMetricArtifact(f1_score=0.9743589743589743, precision_score=0.9608482871125612, recall_score=0.988255033557047))
[ 2026-07-01 03:31:38,710 ] 40 root - INFO - Model Training Artifact Created
