[ 2026-07-01 03:15:08,282 ] 17 root - INFO - Initiate the data ingestion
[ 2026-07-01 03:15:10,641 ] 56 root - INFO - Performed trained test split on the dataframe
[ 2026-07-01 03:15:10,641 ] 58 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2026-07-01 03:15:10,642 ] 63 root - INFO - Exporting train and test file path.
[ 2026-07-01 03:15:10,676 ] 68 root - INFO - Exported train and test file path.
[ 2026-07-01 03:15:10,677 ] 19 root - INFO - Data Initiation Completed
[ 2026-07-01 03:15:10,681 ] 24 root - INFO - Initiate the data validation
[ 2026-07-01 03:15:10,725 ] 31 root - INFO - Required number of columns: 2
[ 2026-07-01 03:15:10,725 ] 32 root - INFO - Data frame has columns: 31
[ 2026-07-01 03:15:10,725 ] 31 root - INFO - Required number of columns: 2
[ 2026-07-01 03:15:10,725 ] 32 root - INFO - Data frame has columns: 31
[ 2026-07-01 03:15:10,823 ] 26 root - INFO - Data Validation Completed
[ 2026-07-01 03:15:10,823 ] 30 root - INFO - Initiate the data transformation
[ 2026-07-01 03:15:10,823 ] 48 root - INFO - Entered initiate_data_transformation method of DataTransformation Class
[ 2026-07-01 03:15:10,823 ] 50 root - INFO - Starting Data Transformation
[ 2026-07-01 03:15:10,836 ] 37 root - INFO - Entered get_data_transformer_object method of transformation class
[ 2026-07-01 03:15:10,836 ] 41 root - INFO - Initialize KNNImputer with {'missing_values': nan, 'n_neighbors': 3, 'weights': 'uniform'}
[ 2026-07-01 03:15:10,844 ] 40 root - INFO - Entered the save_object method of MainUtils class
[ 2026-07-01 03:15:10,846 ] 44 root - INFO - Exited the save_object method of MainUtils class
[ 2026-07-01 03:15:10,846 ] 33 root - INFO - Data Transformation Completed
[ 2026-07-01 03:15:10,846 ] 36 root - INFO - Model Training Started
[ 2026-07-01 03:22:48,119 ] 37 alembic.runtime.plugins - INFO - setup plugin alembic.autogenerate.schemas
[ 2026-07-01 03:22:48,119 ] 37 alembic.runtime.plugins - INFO - setup plugin alembic.autogenerate.tables
[ 2026-07-01 03:22:48,119 ] 37 alembic.runtime.plugins - INFO - setup plugin alembic.autogenerate.types
[ 2026-07-01 03:22:48,119 ] 37 alembic.runtime.plugins - INFO - setup plugin alembic.autogenerate.constraints
[ 2026-07-01 03:22:48,119 ] 37 alembic.runtime.plugins - INFO - setup plugin alembic.autogenerate.defaults
[ 2026-07-01 03:22:48,119 ] 37 alembic.runtime.plugins - INFO - setup plugin alembic.autogenerate.comments
